,Tensión,Tensión Corriente
417,0.42069879,4.0304e-05
418,0.42367714,4.1184e-05
419,0.42661383,4.1069e-05
420,0.43030857,4.0136e-05
421,0.43347338,3.76e-05
422,0.43683528,3.9748e-05
423,0.44004759,3.9623e-05
424,0.4429642,6.7299e-05
425,0.41006055,24.990498
426,0.4014812,25.566137
427,0.40312496,26.181661
428,0.40559008,26.777017
429,0.4073403,27.32431
430,0.40903617,28.012206
431,0.4109216,28.635875
432,0.41293161,29.30652
433,0.41473912,30.015958
434,0.41717372,30.578891
435,0.41861467,31.22163
436,0.42021025,31.818648
437,0.42219599,32.555124
438,0.42398746,33.177935
439,0.42585393,33.915945
440,0.42780248,34.453481
441,0.42964312,35.121492
442,0.43169108,35.960358
443,0.43365713,36.589222
444,0.43508943,37.239679
445,0.43719726,37.914726
446,0.43901352,38.527761
447,0.44073554,39.262354
448,0.44247909,39.929644
449,0.44465442,40.63567
450,0.44658297,41.278902
451,0.44817694,42.096972
452,0.4499083,42.749226
453,0.45196106,43.329222
454,0.45373014,43.903792
455,0.45559973,44.782815
456,0.45750391,45.450377
457,0.45908642,46.080288
458,0.46099185,46.817327
459,0.4629142,47.530098
460,0.46460515,48.198976
461,0.46642797,48.856668
462,0.46816309,49.514861
463,0.47011435,50.336307
464,0.47199378,50.929989
465,0.47352076,51.805259
466,0.4749589,52.36815
467,0.47711329,53.070236
468,0.47895694,53.914181
469,0.48047154,54.540101
470,0.48233759,55.169781
471,0.48415575,55.993559
472,0.48584847,56.768968
473,0.4879638,57.397624
474,0.48970621,58.218505
475,0.49135153,58.941889
476,0.49329762,59.438241
477,0.49499659,60.289066
478,0.49640306,60.871395
479,0.49877609,61.55237
480,0.50037381,62.506065
481,0.50180965,63.215846
482,0.5038372,63.977058
483,0.50510096,64.829534
484,0.50675181,65.44438
485,0.50894703,66.013481
486,0.51061495,66.955447
487,0.51205142,67.481955
488,0.51411095,68.339765
489,0.51585253,69.025434
490,0.51755066,69.584655
491,0.51933807,70.432019
492,0.52069672,71.333993
493,0.52259684,72.019589
494,0.52433929,72.704903
495,0.52611409,73.425454
496,0.52775347,74.2559
497,0.5294589,74.879183
498,0.53130902,75.707601
499,0.5328534,76.31958
500,0.53478835,77.206676
501,0.53708753,77.882833
502,0.5380816,78.458856
503,0.53952129,79.316131
504,0.54167922,80.099258
505,0.54350694,80.705361
506,0.54493049,81.545008
507,0.54663879,82.265956
508,0.54817755,82.933758
509,0.54983308,83.9317
510,0.55162809,84.436919
511,0.55378665,85.245463
512,0.55560812,86.096799
513,0.5568589,86.78067
514,0.55857932,87.49803
515,0.560256,88.274716
516,0.56180799,89.058729
517,0.5637056,89.692133
518,0.56515093,90.523771
519,0.56697139,91.214919
520,0.56814359,92.02711
521,0.57024902,92.713564
522,0.57214601,93.566491
523,0.57396112,94.22599
524,0.57556447,95.156707
525,0.57693432,95.918492
526,0.57871662,96.615496
527,0.58034496,97.263285
528,0.58221279,98.03492
529,0.58379467,98.828929
530,0.58566531,99.765395
531,0.58722411,100.33977
532,0.58888339,101.00331
533,0.59055559,101.87867
534,0.59217226,102.70326
535,0.59367008,103.23893
536,0.59580614,104.17295
537,0.59722677,104.81783
538,0.59911965,105.47432
539,0.60049507,106.31754
540,0.60236967,107.06455
541,0.60373645,107.83588
542,0.60577812,108.56214
543,0.60701532,109.36658
544,0.60875881,110.24251
545,0.61040653,111.01177
546,0.6122556,111.668
547,0.61408603,112.43698
548,0.6156826,112.94088
549,0.6172723,113.82043
550,0.61904421,114.68278
551,0.62087725,115.29188
552,0.62246059,116.10286
553,0.62395924,116.88136
554,0.62557665,117.53944
555,0.62699082,118.43325
556,0.62896594,119.25735
557,0.63063204,120.44484
558,0.6321707,121.32213
559,0.63375217,122.04275
560,0.6354377,122.8948
561,0.63736656,123.54474
562,0.63898626,124.36893
563,0.64068246,125.21952
564,0.64211622,125.9971
565,0.64393362,126.80779
566,0.64595874,127.72508
567,0.64710447,128.51294
568,0.64887167,129.32939
569,0.65075319,129.90308
570,0.6521956,131.00323
571,0.65380061,131.91016
572,0.65560124,132.63046
573,0.65731605,133.41444
574,0.65910231,134.24
575,0.66045481,135.12787
576,0.66173269,136.20708
577,0.66332488,136.88699
578,0.66512187,137.66469
579,0.66694157,138.37944
580,0.66858835,138.99754
